title,year,episodes,country,viewer_score,rank
All of Us Are Dead,2022,12,Korean,8.5,223
Remembrance of Things Past,2021,12,Chinese,8.5,224
The Prince of Tennis,2019,42,Chinese,8.5,225
Save Me,2017,16,Korean,8.5,226
One Ordinary Day,2021,8,Korean,8.5,227
W,2016,16,Korean,8.5,228
My School President,2022,12,Thai,8.5,229
"Soredemo, Ikite Yuku",2011,11,Japanese,8.5,230
Stay with Me,2023,24,Chinese,8.5,231
The Day of Becoming You,2021,26,Chinese,8.5,232
Vagabond,2019,16,Korean,8.5,233
Voice,2017,16,Korean,8.5,234
Hanzawa Naoki Season 2,2020,10,Japanese,8.5,235
"Hi Bye, Mama!",2020,16,Korean,8.5,236
Kairos,2020,16,Korean,8.5,237
Ouroboros,2015,10,Japanese,8.5,238
SKZ Flix,2023,1,Korean,8.5,239
To Fly With You,2021,35,Chinese,8.5,240
I Hear Your Voice,2013,18,Korean,8.5,241
Girl From Nowhere,2018,13,Thai,8.5,242
The World Between Us,2019,10,Taiwanese,8.5,243
Fight for My Way,2017,16,Korean,8.5,244
Code Blue Season 3,2017,10,Japanese,8.5,245
Doctor John,2019,32,Korean,8.5,246
Arsenal Military Academy,2019,48,Chinese,8.5,247
Killer And Healer,2021,37,Chinese,8.5,248
Dong Yi,2010,60,Korean,8.5,249
One Dollar Lawyer,2022,12,Korean,8.5,250
Kamen Rider W,2009,49,Japanese,8.5,251
The Sleuth of Ming Dynasty,2020,48,Chinese,8.5,252
The Bond,2021,36,Chinese,8.5,253
Bad Genius,2020,12,Thai,8.5,254
Back From the Brink,2023,40,Chinese,8.5,255
Destined,2023,40,Chinese,8.5,256
Le Coup de Foudre,2019,35,Chinese,8.5,257
Guardian,2018,40,Chinese,8.5,258
Reply 1997,2012,16,Korean,8.5,259
The Blue Whisper: Part 2,2022,20,Chinese,8.5,260
Time and Him Are Just Right,2022,25,Chinese,8.5,261
Mad for Each Other,2021,13,Korean,8.5,262
Love Is Sweet,2020,36,Chinese,8.5,263
The Imperial Coroner,2021,36,Chinese,8.5,264
The First Responders Season 2,2023,12,Korean,8.5,265
