title,genres,network,watchers
The Kidnapping Day,"Genres: Thriller, Mystery, Comedy, Drama",Original Network: ENA,7315
"3 Nen A Gumi: Ima kara Mina-san wa, Hitojichi Desu","Genres: Action, Thriller, Mystery, Psychological",Original Network: NTV,16452
The Worst of Evil,"Genres: Action, Thriller, Mystery, Crime","Original Network: Disney+, Hulu",23695
Hanzawa Naoki,"Genres: Thriller, Business, Drama",Original Network: TBS,7579
Battle of Changsha,"Genres: Military, Historical, Romance, War",Original Network: BTV,7679
Bloodhounds,"Genres: Action, Thriller, Crime, Drama",Original Network: Netflix,33923
Descendants of the Sun,"Genres: Action, Comedy, Romance, Melodrama",Original Network: KBS2,181629
Glory of Special Forces,"Genres: Action, Military, Youth, Drama","Original Network: Dragon TV, iQiyi, Tencent Video, Youku, ZJTV",7150
Hotel del Luna,"Genres: Horror, Comedy, Romance, Fantasy",Original Network: tvN,153836
Winter Begonia,"Genres: Historical, Business, Romance, Drama",Original Network: iQiyi,8054
My Journey to You,"Genres: Romance, Wuxia, Drama, Fantasy",Original Network: iQiyi,14453
Falling Into Your Smile,"Genres: Comedy, Romance, Youth, Sports","Original Network: LINE TV, Tencent Video, Youku",60520
The Bad Kids,"Genres: Adventure, Thriller, Mystery",Original Network: iQiyi,7508
Till the End of the Moon,"Genres: Romance, Wuxia, Fantasy",Original Network: Youku,26703
Tunnel,"Genres: Thriller, Mystery, Sci-Fi, Fantasy",Original Network: OCN,41023
You Are My Hero,"Genres: Military, Romance, Drama, Medical","Original Network: iQiyi, Tencent Video, Youku",28186
The Fiery Priest,"Genres: Action, Mystery, Comedy, Crime",Original Network: SBS,29593
My Perfect Stranger,"Genres: Mystery, Romance, Drama, Sci-Fi","Original Network: KBS2, ViuTV",17285
Mother,"Genres: Thriller, Drama",Original Network: NTV,10860
Missing: The Other Side,"Genres: Thriller, Mystery, Supernatural",Original Network: OCN,18099
Live,"Genres: Romance, Life, Drama","Original Network: Netflix, tvN",22314
Project S: Skate Our Souls,"Genres: Psychological, Youth, Drama, Sports",Original Network: GMM 25,4977
My Liberation Notes,"Genres: Romance, Life, Drama, Melodrama","Original Network: jTBC, Netflix",37773
"It's Okay, That's Love","Genres: Psychological, Comedy, Romance, Drama",Original Network: SBS,86109
Law School,"Genres: Mystery, Law, Crime, Drama","Original Network: jTBC, Netflix",46748
Perfect Marriage Revenge,"Genres: Business, Romance, Drama, Fantasy","Original Network: MBN, Viki",21710
Cross Fire,"Genres: Action, Youth, Sci-Fi, Sports",Original Network: Tencent Video,11119
Children of Nobody,"Genres: Thriller, Mystery, Psychological, Drama",Original Network: MBC,16628
Vigilante,"Genres: Action, Thriller, Psychological, Crime","Original Network: Disney+, Hulu",18586
Love Destiny,"Genres: Historical, Comedy, Romance, Supernatural",Original Network: Channel 3,7075
Once Again,"Genres: Comedy, Romance, Life, Drama",Original Network: KBS2,14349
Kazoku Game,"Genres: Mystery, Psychological, Life, Drama",Original Network: Fuji TV,10874
Castaway Diva,"Genres: Music, Comedy, Romance, Drama","Original Network: Netflix, TVING, tvN",23507
Lovely Us,"Genres: Comedy, Romance, Life, Youth",Original Network: iQiyi,9567
Ghost Doctor,"Genres: Comedy, Medical, Fantasy, Supernatural",Original Network: tvN,33553
The Starry Love,"Genres: Comedy, Romance, Wuxia, Fantasy","Original Network: JSTV, Youku, ZJTV",16878
The Romance of Tiger and Rose,"Genres: Historical, Comedy, Romance, Fantasy",Original Network: Tencent Video,38789
Eternal Love of Dream,"Genres: Romance, Wuxia, Drama, Fantasy",Original Network: Tencent Video,23970
Ashes of Love,"Genres: Romance, Wuxia, Drama, Fantasy","Original Network: iQiyi, JSTV, Tencent Video, Youku",44161
Juvenile Justice,"Genres: Law, Drama",Original Network: Netflix,28993
Word of Honor,"Genres: Mystery, Wuxia, Fantasy, Political",Original Network: Youku,37486
Go Back Couple,"Genres: Comedy, Romance, Life, Fantasy",Original Network: KBS2,42545
Tenno no Ryoriban,"Genres: Food, Historical, Drama",Original Network: TBS,5131
